pair_id,trial,participant,moving,fixed,overlap,bone_dice_at_reference,condition,repeat,seed,method,init_mtre_mm,mtre_mm,success,improved,residual_translation_mm,residual_rotation_deg,dice,ncc,seconds,converged
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,MEDIUM,2,376908409,anatomy,3.7229,22.2741,False,False,4.0153,31.9494,0.3458,0.4608,0.547,False
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,HARD,0,1830032703,intensity,4.9037,5.3255,False,False,4.4595,2.2678,0.1735,0.7304,5.345,True
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,HARD,0,1830032703,anatomy,4.9037,22.2839,False,False,4.0202,31.9663,0.3451,0.4608,0.578,False
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,HARD,1,1864378416,intensity,10.0494,6.1219,False,True,4.6088,4.1585,0.1207,0.7325,3.696,True
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,HARD,1,1864378416,anatomy,10.0494,22.2617,False,False,3.7929,31.9737,0.3395,0.4525,0.532,False
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,HARD,2,1945270354,intensity,5.6466,4.6826,True,True,3.7446,3.3756,0.1743,0.74,3.778,True
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,HARD,2,1945270354,anatomy,5.6466,22.2701,False,False,4.0136,31.9422,0.3453,0.4608,0.545,False
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,EASY,0,999197665,intensity,0.357,6.4516,False,False,5.6361,7.8188,0.0481,0.7183,6.119,True
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,EASY,0,999197665,anatomy,0.357,4.7085,True,False,1.4156,7.161,0.5935,0.5223,0.341,False
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,EASY,1,1129193498,intensity,0.5515,6.4766,False,False,5.6504,7.8457,0.0481,0.7194,3.803,True
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,EASY,1,1129193498,anatomy,0.5515,4.7131,True,False,1.4176,7.1672,0.5938,0.5222,0.346,False
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,EASY,2,1494751324,intensity,0.5894,7.584,False,False,8.6608,7.1113,0.0214,0.7119,4.229,True
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,EASY,2,1494751324,anatomy,0.5894,4.7067,True,False,1.414,7.1589,0.5935,0.5224,0.352,False
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,MEDIUM,0,620895922,intensity,3.177,11.2974,False,False,13.1959,7.3945,0.0017,0.783,3.988,True
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,MEDIUM,0,620895922,anatomy,3.177,4.6511,True,False,1.4261,7.1251,0.5908,0.5236,0.329,False
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,MEDIUM,1,1384112041,intensity,0.5325,11.2879,False,False,13.1918,7.382,0.0017,0.7831,5.129,True
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,MEDIUM,1,1384112041,anatomy,0.5325,4.699,True,False,1.4148,7.152,0.5933,0.5231,0.304,False
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,MEDIUM,2,1072241546,intensity,2.1123,6.5746,False,False,6.0451,7.8572,0.0448,0.7165,4.115,True
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,MEDIUM,2,1072241546,anatomy,2.1123,4.708,True,False,1.4211,7.165,0.5935,0.5233,0.329,False
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,HARD,0,49661200,intensity,7.2091,11.3058,False,False,13.2318,7.4923,0.0017,0.7832,5.433,True
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,HARD,0,49661200,anatomy,7.2091,4.7028,True,True,1.3244,7.2101,0.5927,0.5236,0.318,False
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,HARD,1,774308634,intensity,5.5671,10.8643,False,False,12.2488,10.1909,0.0017,0.7242,3.814,True
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,HARD,1,774308634,anatomy,5.5671,4.717,True,True,1.4031,7.1713,0.5938,0.5219,0.325,True
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,HARD,2,1508154894,intensity,7.0461,11.2853,False,False,13.1981,7.4261,0.0017,0.7831,4.228,True
PA001_trial_B_V30-V31,PA001_trial_B,PA001,30,31,0.7417,0.3343,HARD,2,1508154894,anatomy,7.0461,4.8566,True,True,2.7556,6.7536,0.5904,0.5044,0.34,False
PA001_trial_B_V31-V32,PA001_trial_B,PA001,31,32,0.627,0.066,EASY,0,630465829,intensity,0.2552,9.7932,False,False,7.6281,10.0281,0.0923,0.7598,5.515,True
PA001_trial_B_V31-V32,PA001_trial_B,PA001,31,32,0.627,0.066,EASY,0,630465829,anatomy,0.2552,6.9584,False,False,5.958,6.9575,0.3399,0.4455,0.503,False
PA001_trial_B_V31-V32,PA001_trial_B,PA001,31,32,0.627,0.066,EASY,1,1369773301,intensity,0.8704,9.9263,False,False,8.1863,9.7847,0.0905,0.7556,5.084,True
PA001_trial_B_V31-V32,PA001_trial_B,PA001,31,32,0.627,0.066,EASY,1,1369773301,anatomy,0.8704,6.9398,False,False,5.9518,6.9183,0.3387,0.4459,0.533,False
PA001_trial_B_V31-V32,PA001_trial_B,PA001,31,32,0.627,0.066,EASY,2,616232029,intensity,1.0327,9.1121,False,False,6.3762,10.0154,0.086,0.7579,5.81,True
PA001_trial_B_V31-V32,PA001_trial_B,PA001,31,32,0.627,0.066,EASY,2,616232029,anatomy,1.0327,6.9637,False,False,5.9617,6.9647,0.34,0.4457,0.53,False
PA001_trial_B_V31-V32,PA001_trial_B,PA001,31,32,0.627,0.066,MEDIUM,0,1455788151,intensity,3.6264,10.2402,False,False,8.5408,10.0918,0.0871,0.754,4.153,True
PA001_trial_B_V31-V32,PA001_trial_B,PA001,31,32,0.627,0.066,MEDIUM,0,1455788151,anatomy,3.6264,6.9632,False,False,5.9609,6.9674,0.3404,0.4456,0.483,False
PA001_trial_B_V31-V32,PA001_trial_B,PA001,31,32,0.627,0.066,MEDIUM,1,108431373,intensity,3.3709,9.0261,False,False,6.0014,10.1388,0.0819,0.7562,6.637,True
PA001_trial_B_V31-V32,PA001_trial_B,PA001,31,32,0.627,0.066,MEDIUM,1,108431373,anatomy,3.3709,27.2003,False,False,14.8981,35.0998,0.3676,0.5579,0.483,False
PA001_trial_B_V31-V32,PA001_trial_B,PA001,31,32,0.627,0.066,MEDIUM,2,1591082619,intensity,4.2265,8.6071,False,False,5.1662,10.0927,0.0747,0.7564,3.913,True
PA001_trial_B_V31-V32,PA001_trial_B,PA001,31,32,0.627,0.066,MEDIUM,2,1591082619,anatomy,4.2265,28.1631,False,False,15.1543,36.4482,0.3661,0.5504,0.504,False
PA001_trial_B_V31-V32,PA001_trial_B,PA001,31,32,0.627,0.066,HARD,0,1276260133,intensity,7.2945,9.0161,False,False,5.9709,10.1359,0.0819,0.7566,4.262,True
